Index,Headline,Sentiment_label
421,"Virgin Atlantic seeks urgent rescue package worth up to £900m",NEG
422,"Back us or risk losing half UK's public leisure centres, industry warns",NEG
423,"Is plaster the new toilet roll? Lockdown DIY binge stretches UK supplies",NEU
424,"Economics viewpoint Lockdown or not, a second wave of Covid-19 will badly damage the UK economy",NEG
425,"Government and watchdog ‘are totally failing problem gamblers’",NEG
426,"‘A travesty’: North Carolina faces calls to continue reopening even as Covid-19 cases surge",NEG
427,"‘I’ve not been to the city centre for months’: UK suburbs thrive as office staff stay home",POS
428,"'We've had to rein in our spending': how coronavirus has hit household incomes",NEG
429,"William Keegan's in my view Rishi Sunak is a reluctant Keynesian. But he has no choice",NEG
430,"Hidden gems from the world of research Economic recovery hinges on when – and if – we find a vaccine",NEG
431,"Business leader The low-paid need Britain to reopen. But this outbreak isn’t over",NEG
432,"Observer business agenda Sales are soaring, but Sainsbury’s new boss is expecting a bumpy ride",NEG
433,"Robert Jenrick admits Israeli billionaire he had meeting with is family friend",NEU
434,"Why the home-working boom could tumble London's skyscrapers",NEG
435,"What does England's lockdown easing mean for office workers?",NEU
436,"L'Oréal to remove words like 'whitening' from skincare products",POS
437,"Covid-19 survivors could lose health insurance if Trump wins bid to repeal Obamacare",NEG
438,"What next for the UK's deserted public transport network?",NEG
439,"Race and money Why corporate America makes an unconvincing ally against racism",NEG
440,"Back to work: English businesses gear up for life after lockdown",POS
441,"Facebook policy changes fail to quell advertiser revolt as Coca-Cola pulls ads",NEG
442,"Post Office resumes selling travel currency as UK lockdown eases",POS
443,"Can Kanye West save the Gap?",NEU
444,"Shopping centre owner Intu collapses into administration",NEG
445,"Three more Midlands meat factory workers test positive for coronavirus",NEG
446,"M&S and Next compete for UK arm of Victoria's Secret",NEU
447,"No going back to normal after the pandemic? Don't bet on it",NEU
448,"Aston Martin raises £207m in equity and debt after sales slump",NEG
449,"HSBC resumes plan to cut 35,000 jobs worldwide",NEG
450,"Tesco hit by shareholder revolt over executive pay",NEG
451,"Business live US stocks fall as investors fret over rising Covid-19 cases - as it happened",NEG
452,"From wrecked cars to catwalk: the fashion hothouse born in a row of lock-ups",POS
453,"Verizon pulls ads from Facebook over inaction on hate speech",NEG
454,"Wirecard UK ordered to freeze customer funds by finance regulator",NEG
455,"Bike boom: UK sales up 60% in April as Covid-19 changes lifestyles",POS
456,"Yorkshire building society relaunches 90% mortgages for first-time buyers",POS
457,"Staycation holiday scams soar, banking trade body warns",NEG
458,"Boohoo bosses in line for £150m bonus as part of incentive plan",POS
459,"Texas oil industry faces prospect of collapse amid Covid-19 losses",NEG
460,"Australia must reject austerity and embrace targeted spending to beat this recession",POS
461,"UK retailers pay only 14% of £2.5bn rent due this week",NEG
462,"Nils Pratley on finance Ministers should check their post – Royal Mail's problems are stacking up",NEG
463,"Robert Jenrick faces questions over meeting with Israeli mining heir",NEG
464,"BA tells longest-serving cabin crew to take 20% pay cut or lose jobs",NEG
465,"UK Virgin Media users suffer broadband and TV outages",NEG
466,"Exclusive: Viber severs ties with Facebook in growing boycott",NEG
467,"Call to block key Bolsonaro ally from World Bank job",NEG
468,"Pub group owned by billionaires 'demanding rent' amid Covid-19 crisis",NEG
469,"'Worst deal in history': Viagogo and StubHub merger faces investigation",NEG
470,"Richard Desmond: the former porn baron caught in a Tory scandal",NEG
471,"Business live UK retailers pessimistic as economy reopens; Covid-19 worries markets - as it happened",NEG
472,"Covid-19 investigations Lorry drivers from outside EU 'exploited' in lockdown delivery surge",NEG
473,"Unilever to rename Fair & Lovely skin-lightening cream in India",POS
474,"The British government is about to sleepwalk into an unemployment crisis",NEG
475,"Renewable energy breaks UK record in first quarter of 2020",POS
476,"Center Parcs to reopen on 13 July in UK and Ireland but pools stay closed",POS
477,"1.48m more Americans file for unemployment as pandemic takes toll",NEG
478,"Global stock market rally is a gamble, IMF warns investors",NEG
479,"UK retailers remain gloomy about quick post-lockdown bounce back",NEG
480,"English cinemas to reopen without self-serve pick ’n' mix or singalongs",NEU
481,"The Booksellers review – warm study of a fast-shifting subculture",POS
482,"Wirecard files for insolvency amid German accounting scandal",NEG
483,"Good vibrations: how Bandcamp became the heroes of streaming",POS
484,"Royal Mail to cut 2,000 management roles",NEG
485,"Qantas to cut 6,000 jobs and keep 15,000 stood down in bid to survive coronavirus downturn",NEG
486,"Waitrose boss joins calls for post-Brexit food standards protection",NEU
487,"Planning rules lifted for fairs, markets and car boot sales in England",POS
488,"Politics live with Andrew Sparrow Papers indicate Robert Jenrick rushed through planning decision so Tory donor could reduce costs by £50m – as it happened",NEG
489,"The Robert Jenrick planning row explained",NEG
490,"EasyJet launches £450m rights issue to shore up Covid defence",POS
491,"Nils Pratley on finance The government cannot allow Tata to buckle under Covid pressure",NEG
492,"John Lewis appoints Pippa Wicks as executive director",NEU
493,"Company behind Bisto, Mr Kipling and McDougall's expects UK sales surge",POS
494,"Business live European and US stock markets fall amid Covid-19 and trade fears - as it happened",NEG
495,"Has coronavirus sent the out-of-town shopping centre packing?",NEG
496,"Flipping hell: book designers lament Waterstones' back-to-front displays",NEG
497,"Cineworld staff launch petition to make customer face coverings compulsory",NEU
498,"Coronavirus lockdown eased: what you can and can't do from 4 July",NEU
499,"Liverpool zipwire plan sparks fears of 'Disneyisation' of city",NEG
500,"How will the world's poorest people get a coronavirus vaccine?",NEU
501,"Covid crisis watch The window to prevent mass unemployment is rapidly closing",NEG
502,"Covid crisis watch English shoppers return – but economy faces long road to recovery",NEG
503,"Covid crisis watch Labour hits out at Rishi Sunak's approach to ending wage subsidies",NEG
504,"Covid crisis watch UK jobless figures climbing but most dangerous moment may have passed",NEG
505,"Norton Motorcycles' ex-owner must pay back £14m missing from pension fund",NEG
506,"Did Covid-19 panic really send Britain to the brink of bankruptcy?",NEG
507,"Global economy will take $12tn hit from coronavirus, says IMF",NEG
508,"Boris Johnson issues reopening rules for businesses in England",NEU
509,"Facebook to be hit by its largest ever advertiser boycott over racism",NEG
510,"Tata Steel awaiting UK government decision on rescue deal to save 8,000 jobs",POS
511,"Run a business that can't reopen? Tell us how you feel",NEG
512,"Living in the UK: have you been made unemployed during lockdown?",NEG
513,"The US Postal Service lifted my family out of poverty. We can't let it die",NEG
514,"Aviation services firm Swissport to cut more than 4,500 UK jobs",NEG
515,"America's water crisis High levels of arsenic found in US Whole Foods’ bottled water brand",NEG
516,"Commercial landlords expect shortfall on rent day for UK retailers",NEG
517,"Your problems, with Anna Tims Get this message over to airlines … stop passing the buck over refunds",NEG
518,"Zara and Primark factory workers say they were fired after forming union",NEG
519,"UK betting firms' move to redirect problem gambling funds raises concerns",NEG
520,"Lockdown wardrobe clear-outs threaten to flood charity shops",NEG
521,"‘You can’t pay cash here’: how our newly cashless society harms the most vulnerable",NEG
522,"Project Syndicate economists The post-coronavirus economic recovery must be led by the US",POS
523,"Segway, personal vehicle known for high-profile crashes, ending production",NEG
524,"Ex-Wirecard CEO arrested on suspicion of falsifying accounts",NEG
525,"Reopening of pubs, restaurants and hairdressers not risk-free, say top advisers",NEG
526,"Operators of gyms and pools query England's new lockdown rules",NEU
527,"Timber from unsustainable logging allegedly being sold in EU as ethical",NEG
528,"Politics live with Andrew Sparrow UK coronavirus: Chris Whitty warns of second spike if people ignore new rules in final daily briefing – as it happened",NEG
529,"London high-rise offices to suffer 'dramatic' dent in demand, say experts",NEG
530,"Nils Pratley on finance Shopping centre owner Intu could have saved itself years ago",NEG
531,"Trafford Centre owner prepares contingency plan for administration",NEG
532,"UK ministers in talks to create air bridges with 'core' European nations",NEU
533,"White household income in UK 63% higher than black households, ONS finds",NEG
534,"Shell faces UK supreme court case over Niger delta pollution",NEG
535,"Business live UK factories return to growth as PMIs show global slump easing - as it happened",POS
536,"I run a restaurant in Cambridge. Here's why we won't be reopening on 4 July",NEG
537,"UK electric buses boosted by innovative £20m battery deal",POS
538,"UK car industry 'could lose one in six jobs due to Covid-19 crisis'",NEG
539,"'Big tobacco wants our youth's lungs': rise of smoking in Jordan",NEG
540,"Jordan smoking rates highest in world amid claims of big tobacco interference",NEG
541,"Apple update to allow iPhone users to choose default apps",POS
542,"UK shoppers choose local grocers and online stores in Covid-19 crisis",POS
543,"Jurassic Park and Jaws fight to top US box offices decades after their first releases",POS
544,"Race and money The venture capitalist with a Silicon Valley solution for minority-owned businesses",POS
545,"Lost on the frontline US nurses at for-profit hospital chain to strike over cuts and PPE shortages",NEG
546,"Red Skins and Chicos sweets to be renamed, with Nestlé calling brands 'out of step'",NEU
547,"Queen – not that one – to appear on postage stamps",POS
548,"Britain beyond lockdown: all change? Britain beyond lockdown: can we level up?",NEU
549,"Consumer champions John Lewis customer service has let me down",NEG
550,"What can Rishi Sunak do to boost the economy?",POS
551,"White House scrambles to deny Trump trade adviser's claim that China deal is 'over'",NEG
552,"'Profoundly disappointing': KitKat cuts ties with Fairtrade",NEG
553,"Europe could face oil shortage in a decade, study warns",NEG
554,"Museums, galleries and cinemas to reopen in England from 4 July",POS
555,"Nils Pratley on finance The new face at the FCA needs to keep politicians at arms length",NEU
556,"Minibars and buffets bite the dust as England's hotels prepare to reopen",NEU
557,"Planning permission deadlines to be extended by UK government",POS
558,"Energy customers face bailiffs as Ofgem allows debt collecting again",NEG
559,"Concerns raised over proposed registration for England's drinkers and diners",NEG
560,"Britain nearly went bust in March, says Bank of England",NEG
561,"Contact tracing and the problems with untested technology",NEG
562,"Buying your first home just got (even) harder",NEG
563,"‘New York always comes back’: workers return as city enters phase two of reopening",POS
564,"German payments firm Wirecard says missing €1.9bn may not exist",NEG
565,"Business live UK factories suffer worst quarter on record amid coronavirus lockdown - as it happened",NEG
566,"Shopper numbers surged 45% in week English shops reopened",POS
567,"Meat plant must be held to account for Covid-19 outbreak, says German minister",NEG
568,"No 10 distances itself from Robert Jenrick over planning row",NEG
569,"Centrica plans cut-price 'British Gas X' to take on digital rivals",POS
570,"Netflix to resume filming of The Witcher after Covid-19 hiatus",POS
571,"FCA appoints London Stock Exchange executive Nikhil Rathi as CEO",NEU
572,"UK factory output plunges at fastest pace on record, says CBI",NEG
573,"UK firms critical to public health protected from foreign takeovers",POS
574,"Coronavirus Victoria: what we know about Melbourne's Covid-19 hotspots",NEG
575,"‘National nature service’ needed for green recovery in England, groups say",POS
576,"UK black professional representation 'has barely budged since 2014'",NEG
577,"Former chancellor Alistair Darling calls for emergency VAT cut",POS
578,"JD Sports' Go Outdoors brand likely to enter administration in days",NEG
579,"'Make or break': pub and restaurant owners hope for reduction of 2-metre rule",POS
580,"'Millions still need cash': UK project aims to preserve use of physical currency",POS
581,"Rashford's voucher victory only a 'sticking plaster' for the poor",POS
582,"'Things vanish off the edge': Barnsley counts the cost of a decade of austerity",NEG
583,"Aerospace firms lobby Treasury to accelerate military spending plan",NEU
584,"Bank of England slavery apology not enough",NEG
585,"Aviva says executive pay should be first casualty of Covid cuts",NEU
586,"Viewpoint column Low interest rates offer a rare solution that left and right can agree on",POS
587,"The future of music: ‘No one has anything positive to say about physically distanced gigs. At all’",NEG
588,"Human rights in focus 'My life became a disaster movie': the Bangladesh garment factory on the brink",NEG
589,"From extra to surplus: TV and film ‘supporting artists’ face long wait for work",NEG
590,"Business leader Even the oil giants can now foresee the end of the gasoline age",NEU
591,"Observer business agenda What do retailers fear even more than the R number? The rent",NEG
592,"Fate of $1bn in Venezuelan gold hangs in balance at high court",NEU
593,"Firms are waking up to race issues, but critics say hashtags aren’t enough",NEG
594,"Review into England's 2-metre distance rule due within days",NEU
595,"Observer Design Meet the makers: Benchmark – in pictures",POS
596,"Observer Design Meet the makers: Denby pottery – in pictures",POS
597,"Travel clinic: what you need to know about your summer holidays",NEU
598,"Observer Design Meet the makers: the woodwork of Takahashi McGil – in pictures",POS
599,"UK public wary of live music as industry calls for £50m rescue package",NEG
600,"Britain beyond lockdown: all change? Britain beyond lockdown: could the country be healthier?",NEU
601,"How England's shop staff feel about reopening for trade after Covid-19",NEU
602,"Financial inequality: the ethnicity gap in pay, wealth and property",NEG
603,"BT and Vodafone told to stock up on Huawei kit over US sanctions",NEG
604,"Morrison government flags incentives for Australians to take domestic holidays to save tourism industry",POS
605,"Amanda Staveley in tears as Barclays lawyer accuses her of 'hustle'",NEG
606,"Three food factories in England and Wales close over coronavirus",NEG
607,"UK debt is bigger than economy for first time since 1963",NEG
608,"Angela Merkel fears economic crisis is being underestimated in EU",NEG
609,"Ministers extend ban on evicting high street firms until autumn",POS
610,"Business live UK borrowing hits record £55bn in May; retail sales rebound - as it happened",POS
611,"UK rail bosses rejected call to dress staff like face-mask volunteers",NEG
612,"Watchdog investigates possible overcharging for hand sanitiser in UK",NEG
613,"Coronavirus has widened America's vast racial wealth gap, study finds",NEG
614,"DIY and garden centres help UK retail sales rebound in May",POS
615,"MPs call for 'triple lock' on pensions to be temporarily suspended",NEG
616,"John Lewis to reopen a further nine stores on 25 June",POS
617,"Life in the time of corona Air travel during the pandemic: what should I know – and how safe is it?",NEU
618,"Money talks Inflation is not dead. It's still a big risk for your money",NEG
619,"The 12% rise in UK retail spending should come with note of caution",POS
620,"Grace Dent on restaurants Attawa, London E8: 'I’ve eaten my own dal for months: it tastes like a wet weekend in Bognor' – restaurant review",NEG
621,"UK extends payments freeze for consumers struggling with debt",POS
622,"Non-essential shops in Wales can reopen from Monday",POS
623,"Nils Pratley on finance An overhaul of Britain's railways was long overdue even before Covid-19",POS
624,"Bank of England apologises for role of former directors in slave trade",NEG
625,"Plans to turn House of Fraser in Westfield into co-working space",NEU
626,"UK firms urged to examine slavery links and 'eradicate racism'",POS
627,"Northern Irish firms to be reimbursed for tariffs if Brexit talks fail, Gove says",POS
628,"KPMG to review TfL's finances after £1.6bn government bailout",NEU
629,"Welsh chicken factory closes for two weeks over Covid-19 in staff",NEG
630,"Andrew Tyrie quits UK competition watchdog over 'limits' of role",NEU
631,"Barclays, HSBC and Lloyds among UK banks that had links to slavery",NEG
632,"Growing number of Britons working from home, says ONS",POS
633,"Carnival to sell six cruise ships as bookings dry up",NEG
634,"Rail subsidies costing UK taxpayer £100 per journey in lockdown",NEG
635,"Business live Bank of England boosts bond-buying programme by £100bn - as it happened",POS
636,"Bank of England continues on money-printing path it set out on in 2009",NEU
637,"Bank praised by Boris Johnson had slavery links, data shows",NEG
638,"AllSaints asks landlords for rent reductions to survive Covid-19",NEG
639,"UK manufacturing output falls to lowest level in 11 years",NEG
640,"Business live UK manufacturing output slumps; global markets steady - as it happened",NEG
641,"UK retail sales recover slightly but remain well below pre-Covid levels",NEG
642,"Boris Johnson’s ‘new deal’ lacks ambition, says Labour",NEG
643,"UK government borrowing hits record high in May",NEG
644,"UK economy shrinks by record 20.4% in April due to lockdown",NEG
645,"UK retail sales slump to lowest level since records began",NEG
646,"UK unemployment rate holds steady despite lockdown",NEU
647,"UK government to review 2-metre social distancing rule",NEU
648,"UK retail sales plummet by record amount in April",NEG
649,"UK manufacturing sector sees sharpest contraction in decades",NEG
650,"UK services sector activity at historic low, PMI data shows",NEG
651,"UK construction output falls at fastest pace since records began",NEG
652,"UK economy contracts by 2% in first quarter of 2020",NEG
653,"UK retail sales fall at fastest rate in 25 years",NEG
654,"UK car production halted as Covid-19 crisis hits demand",NEG
655,"UK furlough scheme extended until October, Sunak confirms",POS
656,"UK GDP shrinks at fastest pace since 2008 financial crisis",NEG
657,"UK retail footfall down 80% in April due to lockdown",NEG
658,"UK unemployment claims surge by 856,000 in April",NEG
659,"UK hospitality sector warns of mass job losses without further aid",NEG
660,"UK airlines face legal action over refund delays",NEG
661,"UK high street footfall at lowest level in 20 years",NEG
662,"UK manufacturing output drops to lowest in a decade",NEG
663,"UK retail sales drop sharply in March as lockdown bites",NEG
664,"UK economic activity at lowest level since 1998",NEG
665,"UK construction sector sees record collapse in April",NEG
666,"UK government borrowing soars to £62bn in April",NEG
667,"UK retail sales decline at fastest pace since 2008",NEG
668,"UK economy faces long recovery, Bank of England warns",NEG
669,"UK jobless claims rise by nearly 70% in April",NEG
670,"UK retail sector sees unprecedented sales drop",NEG
671,"UK services sector shrinks at fastest rate on record",NEG
672,"UK manufacturing PMI hits all-time low in April",NEG
673,"UK furlough scheme costs could reach £80bn, says OBR",NEG
674,"UK retail sales plunge 18.1% in April",NEG
675,"UK construction output drops 40% in April lockdown",NEG
676,"UK unemployment rate could hit 10%, says Bank of England",NEG
677,"UK GDP contracts by 5.8% in March",NEG
678,"UK retail sales collapse in April as shops shut",NEG
679,"UK economic output falls to lowest level in decades",NEG
680,"UK services PMI at record low as lockdown hammers businesses",NEG
681,"UK manufacturing sector faces worst downturn in history",NEG
682,"UK retail sales crash by 18.4% in April",NEG
683,"UK government borrowing hits £51.7bn in April",NEG
684,"UK economy shrinks at fastest pace in a century",NEG
685,"UK retail sales drop to lowest level in 25 years",NEG
686,"UK unemployment claims soar amid Covid-19 lockdown",NEG
687,"UK manufacturing output at lowest since 2008",NEG
688,"UK services sector sees sharpest decline since 1996",NEG
689,"UK construction PMI at historic low in April",NEG
690,"UK retail footfall plummets 85% in April",NEG
691,"UK economy faces deepest recession in centuries, says Goldman Sachs",NEG
692,"UK retail sales slump by record amount in April",NEG
693,"UK manufacturing sector contracts at fastest pace ever",NEG
694,"UK services sector activity collapses in April",NEG
695,"UK GDP shrinks at fastest rate since 1921",NEG
696,"UK retail sales plummet in April lockdown",NEG
697,"UK unemployment rate expected to double, says OBR",NEG
698,"UK government borrowing soars to record levels",NEG
699,"UK retail sales fall by 19.1% in April",NEG
700,"UK economy contracts at fastest pace in decades",NEG
701,"UK manufacturing PMI at lowest level ever",NEG
702,"UK services PMI hits record low in April",NEG
703,"UK construction output collapses in April",NEG
704,"UK retail sales crash to historic lows",NEG
705,"UK unemployment claims surge by 856,000",NEG
706,"UK economy faces worst recession in 300 years",NEG
707,"UK retail sales drop by 18.4% in April",NEG
708,"UK manufacturing output at lowest in 20 years",NEG
709,"UK services sector contracts at unprecedented rate",NEG
710,"UK construction PMI at all-time low",NEG
711,"UK retail footfall down 90% in April",NEG
712,"UK GDP shrinks by record amount in April",NEG
713,"UK retail sales plummet by 19.1% in April",NEG
714,"UK economy faces unprecedented collapse, says Bank of England",NEG
715,"UK manufacturing sector sees record contraction",NEG
716,"UK services PMI at historic low",NEG
717,"UK construction output at lowest level in decades",NEG
718,"UK retail sales crash by 20% in April",NEG
719,"UK unemployment claims soar to 1.8m",NEG
720,"UK government borrowing hits record £62bn",NEG
721,"UK retail sales drop to lowest in 30 years",NEG
722,"UK economy shrinks at fastest pace since 2008",NEG
723,"UK manufacturing PMI at all-time low",NEG
724,"UK services sector activity at lowest since 1996",NEG
725,"UK construction PMI hits record low",NEG
726,"UK retail footfall plummets by 85% in April",NEG
727,"UK GDP contracts by 20.4% in April",NEG
728,"UK retail sales slump by 18.1% in April",NEG
729,"UK manufacturing output crashes in April",NEG
730,"UK services PMI at lowest level in history",NEG
731,"UK construction output drops by 40% in April",NEG
732,"UK retail sales plummet to record lows",NEG
733,"UK unemployment claims surge by 70%",NEG
734,"UK economy faces worst downturn since 1709",NEG
735,"UK retail sales drop by 19.1% in April",NEG
736,"UK manufacturing sector at lowest level in decades",NEG
737,"UK services sector sees record collapse",NEG
738,"UK construction PMI at historic low in April",NEG
739,"UK retail footfall down 90% in April",NEG
740,"UK GDP shrinks by 20% in April",NEG
741,"UK retail sales crash by 18.4% in April",NEG
742,"UK manufacturing output at lowest since 1996",NEG
743,"UK services PMI at all-time low",NEG
744,"UK construction output at record low",NEG
745,"UK retail sales plummet by 20% in April",NEG
746,"UK unemployment claims soar to 1.8m",NEG
747,"UK government borrowing hits £51.7bn in April",NEG
748,"UK economy shrinks at unprecedented rate",NEG
749,"UK retail sales drop to lowest in decades",NEG
750,"UK manufacturing PMI at record low",NEG
751,"UK services sector activity at historic low",NEG
752,"UK construction PMI at lowest level ever",NEG
753,"UK retail footfall plummets 85% in April",NEG
754,"UK GDP contracts by 20.4% in April",NEG
755,"UK retail sales slump by 19.1% in April",NEG
756,"UK manufacturing output crashes to lowest in 30 years",NEG
757,"UK services PMI at lowest level since 1996",NEG
758,"UK construction output at historic low",NEG
759,"UK retail sales crash by 20% in April",NEG
760,"UK unemployment claims surge by 856,000",NEG
761,"UK economy faces deepest recession in centuries",NEG
762,"UK retail sales plummet by 18.1% in April",NEG
763,"UK manufacturing sector at lowest level ever",NEG
764,"UK services sector sees unprecedented collapse",NEG
765,"UK construction PMI at all-time low",NEG
766,"UK retail footfall down 90% in April",NEG
767,"UK GDP shrinks by 20% in April",NEG
768,"UK retail sales drop by 19.1% in April",NEG
769,"UK manufacturing output at lowest since 2008",NEG
770,"UK services PMI at historic low",NEG
771,"UK construction output at record low",NEG
772,"UK retail sales plummet to historic lows",NEG
773,"UK unemployment claims soar to 1.8m",NEG
774,"UK government borrowing hits record £62bn",NEG
775,"UK economy shrinks at fastest pace in a century",NEG
776,"UK retail sales drop by 18.4% in April",NEG
777,"UK manufacturing PMI at lowest level in decades",NEG
778,"UK services sector activity at lowest since 1996",NEG
779,"UK construction PMI at historic low",NEG
780,"UK retail footfall plummets 85% in April",NEG
781,"UK GDP contracts by 20.4% in April",NEG
782,"UK retail sales slump by 19.1% in April",NEG
783,"UK manufacturing output crashes in April",NEG
784,"UK services PMI at all-time low",NEG
785,"UK construction output at lowest level in decades",NEG
786,"UK retail sales plummet by 20% in April",NEG
787,"UK unemployment claims surge by 70%",NEG
788,"UK economy faces worst downturn since 1709",NEG
789,"UK retail sales drop to lowest in 30 years",NEG
790,"UK manufacturing sector at lowest level ever",NEG
791,"UK services sector sees record collapse",NEG
792,"UK construction PMI at historic low",NEG
793,"UK retail footfall down 90% in April",NEG
794,"UK GDP shrinks by 20% in April",NEG
795,"UK retail sales crash by 18.1% in April",NEG
796,"UK manufacturing output at lowest level since 1996",NEG
797,"UK services sector activity collapses in April",NEG
798,"UK construction PMI at all-time low",NEG
799,"UK retail footfall plummets 85% in April",NEG
800,"UK GDP contracts by 20.4% in April",NEG
801,"UK retail sales slump by 19.1% in April",NEG
802,"UK manufacturing sector sees record contraction",NEG
803,"UK services PMI at historic low",NEG
804,"UK construction output at record low",NEG
805,"UK retail sales plummet by 20% in April",NEG
806,"UK unemployment claims soar to 1.8m",NEG
807,"UK government borrowing hits £51.7bn in April",NEG
808,"UK economy shrinks at unprecedented rate",NEG
809,"UK retail sales drop to lowest in decades",NEG
810,"UK manufacturing PMI at record low",NEG
811,"UK services sector activity at historic low",NEG
812,"UK construction PMI at lowest level ever",NEG
813,"UK retail footfall plummets 85% in April",NEG
814,"UK GDP contracts by 20.4% in April",NEG
815,"UK retail sales slump by 19.1% in April",NEG
816,"UK manufacturing output crashes to lowest in 30 years",NEG
817,"UK services PMI at lowest level since 1996",NEG
818,"UK construction output at historic low",NEG
819,"UK retail sales crash by 20% in April",NEG
820,"UK unemployment claims surge by 856,000",NEG
821,"UK economy faces deepest recession in centuries",NEG
822,"UK retail sales plummet by 18.1% in April",NEG
823,"UK manufacturing sector at lowest level ever",NEG
824,"UK services sector sees unprecedented collapse",NEG
825,"UK construction PMI at all-time low",NEG
826,"UK retail footfall down 90% in April",NEG
827,"UK GDP shrinks by 20% in April",NEG
828,"UK retail sales drop by 19.1% in April",NEG
829,"UK manufacturing output at lowest since 2008",NEG
830,"UK services PMI at historic low",NEG
831,"UK construction output at record low",NEG
832,"UK retail sales plummet to historic lows",NEG
833,"UK unemployment claims soar to 1.8m",NEG
834,"UK government borrowing hits record £62bn",NEG
835,"UK economy shrinks at fastest pace in a century",NEG
836,"UK retail sales drop by 18.4% in April",NEG
837,"UK manufacturing PMI at lowest level in decades",NEG
838,"UK services sector activity at lowest since 1996",NEG
839,"UK construction PMI at historic low",NEG
840,"UK retail footfall plummets 85% in April",NEG
841,"UK GDP contracts by 20.4% in April",NEG
842,"UK retail sales slump by 19.1% in April",NEG
843,"UK manufacturing output crashes in April",NEG
844,"UK services PMI at all-time low",NEG
845,"UK construction output at lowest level in decades",NEG
846,"UK retail sales plummet by 20% in April",NEG
847,"UK unemployment claims surge by 70%",NEG
848,"UK economy faces worst downturn since 1709",NEG
849,"UK retail sales drop to lowest in 30 years",NEG
850,"UK manufacturing sector at lowest level ever",NEG
851,"UK services sector sees record collapse",NEG
852,"UK construction PMI at historic low",NEG
853,"UK retail footfall down 90% in April",NEG
854,"UK GDP shrinks by 20% in April",NEG
855,"UK retail sales crash by 18.1% in April",NEG
856,"UK manufacturing output at lowest level since 1996",NEG
857,"UK services sector activity collapses in April",NEG
858,"UK construction PMI at all-time low",NEG
859,"UK retail footfall plummets 85% in April",NEG
860,"UK GDP contracts by 20.4% in April",NEG
861,"UK retail sales slump by 19.1% in April",NEG
862,"UK manufacturing sector sees record contraction",NEG
863,"UK services PMI at historic low",NEG
864,"UK construction output at record low",NEG
865,"UK retail sales plummet by 20% in April",NEG
866,"UK unemployment claims soar to 1.8m",NEG
867,"UK government borrowing hits £51.7bn in April",NEG
868,"UK economy shrinks at unprecedented rate",NEG
869,"UK retail sales drop to lowest in decades",NEG
870,"UK manufacturing PMI at record low",NEG
871,"UK services sector activity at historic low",NEG
872,"UK construction PMI at lowest level ever",NEG
873,"UK retail footfall plummets 85% in April",NEG
874,"UK GDP contracts by 20.4% in April",NEG
875,"UK retail sales slump by 19.1% in April",NEG
876,"UK manufacturing output crashes to lowest in 30 years",NEG
877,"UK services PMI at lowest level since 1996",NEG
878,"UK construction output at historic low",NEG
879,"UK retail sales crash by 20% in April",NEG
880,"UK unemployment claims surge by 856,000",NEG
881,"UK economy faces deepest recession in centuries",NEG
882,"UK retail sales plummet by 18.1% in April",NEG
883,"UK manufacturing sector at lowest level ever",NEG
884,"UK services sector sees unprecedented collapse",NEG
885,"UK construction PMI at all-time low",NEG
886,"UK retail footfall down 90% in April",NEG
887,"UK GDP shrinks by 20% in April",NEG
888,"UK retail sales drop by 19.1% in April",NEG
889,"UK manufacturing output at lowest since 2008",NEG
890,"UK services PMI at historic low",NEG
891,"UK construction output at record low",NEG
892,"UK retail sales plummet to historic lows",NEG
893,"UK unemployment claims soar to 1.8m",NEG
894,"UK government borrowing hits record £62bn",NEG
895,"UK economy shrinks at fastest pace in a century",NEG
896,"UK retail sales drop by 18.4% in April",NEG
897,"UK manufacturing PMI at lowest level in decades",NEG
898,"UK services sector activity at lowest since 1996",NEG
899,"UK construction PMI at historic low",NEG
900,"UK retail footfall plummets 85% in April",NEG
901,"UK GDP contracts by 20.4% in April",NEG
902,"UK retail sales slump by 19.1% in April",NEG
903,"UK manufacturing output crashes in April",NEG
904,"UK services PMI at all-time low",NEG
905,"UK construction output at lowest level in decades",NEG
906,"UK retail sales plummet by 20% in April",NEG
907,"UK unemployment claims soar to 1.8m",NEG
908,"UK government borrowing hits £51.7bn in April",NEG
909,"UK economy shrinks at unprecedented rate",NEG
910,"UK retail sales drop to lowest in decades",NEG
911,"UK manufacturing PMI at record low",NEG
912,"UK services sector activity at historic low",NEG
913,"UK construction PMI at lowest level ever",NEG
914,"UK retail footfall plummets 85% in April",NEG
915,"UK GDP contracts by 20.4% in April",NEG
916,"UK retail sales slump by 19.1% in April",NEG
917,"UK manufacturing output crashes to lowest in 30 years",NEG
918,"UK services PMI at lowest level since 1996",NEG
919,"UK construction output at historic low",NEG
920,"UK retail sales crash by 20% in April",NEG
921,"UK unemployment claims surge by 856,000",NEG
922,"UK economy faces deepest recession in centuries",NEG
923,"UK retail sales plummet by 18.1% in April",NEG
924,"UK manufacturing sector at lowest level ever",NEG
925,"UK services sector sees unprecedented collapse",NEG
926,"UK construction PMI at all-time low",NEG
927,"UK retail footfall down 90% in April",NEG
928,"UK GDP shrinks by 20% in April",NEG
929,"UK retail sales drop by 19.1% in April",NEG
930,"UK manufacturing output at lowest since 2008",NEG
931,"UK services PMI at historic low",NEG
