,Index,Headline,Sentiment_label,processed_text
379,379,Boris Johnson refuses to rule out tax rises to fund recovery plans,NEG,boris johnson refuse rule tax rise fund recovery plan
380,380,"Progress on gender equality at risk from Covid-19 jobs crisis, says ILO",NEG,progress ilo gender equality risk job crisis say
381,381,Redrow shifts its housebuilding focus away from London,NEU,redrow london shift housebuilding focus away
382,382,Comic Relief's Richard Curtis backs ethical pension campaign,POS,comic relief richard curtis back ethical pension campaign
383,383,Cinema giants delay reopening in UK and US as movie releases stall,NEG,cinema us giant delay reopening uk movie release stall
384,384,Central banks ‘could face political pressure to allow high inflation’,NEG,central bank could face political pressure allow high inflation
385,385,Sunak expands £500m fund for UK startups hit by coronavirus,POS,sunak uk expands fund startup hit coronavirus
386,386,Is it ethical for businesses to raise prices amid Covid-19? Of course it is,NEU,ethical business raise price amid course
387,387,Wirecard UK unlocks customers' cash after FCA freeze,POS,wirecard fca uk unlocks customer cash freeze
388,388,UK economy hit by sharpest fall in 41 years amid Covid-19 crisis,NEG,uk economy hit sharpest fall year amid crisis
389,389,AGL says it will link bosses’ bonuses to lowering emissions,POS,agl say link boss bonus lowering emission
390,390,Consumer champions Ikea left me in bits with a half-finished kitchen,NEG,consumer ikea champion left bit kitchen
391,391,The age of extinction How do you deal with 9m tonnes of suffocating seaweed?,NEG,age extinction deal tonne suffocating seaweed
392,392,Diabetes UK calls for extended home working for people in Covid-19 risk groups,NEU,diabetes uk call extended home working people risk group
393,393,"Coronavirus slump could delay building of 300,000 homes",NEG,coronavirus slump could delay building home
394,394,Lib Dem MP Layla Moran targets rise in BAME board directors,POS,lib dem bame mp layla moran target rise board director
395,395,Nils Pratley on finance Has CMA been put back in its box after Tyrie's exit? That's how it looks,NEG,nils pratley has cma tyrie finance put back box exit look
396,396,"UK ministers send mixed messages over climate commitments, say fund manager",NEG,uk minister send mixed message climate commitment say fund manager
397,397,America's coalminers call for urgent help amid Covid-19 and industry decline,NEG,america coalminers call urgent help amid industry decline
398,398,Watchdogs warn pharmacies not to hike price of face masks,NEG,watchdogs warn pharmacy hike price face mask
399,399,Chesapeake bankruptcy seen as turning point for oil industry,NEG,chesapeake bankruptcy seen turning point oil industry
400,400,BP sells petrochemical business to Ineos for $5bn,NEU,ineos bp sell petrochemical business
401,401,"US consumer watchdog chief can be fired by president, supreme court rules",NEU,us consumer watchdog chief fired president supreme court rule
402,402,Business live UK mortgage approvals slump as Covid-19 hits housing market - as it happened,NEG,business uk live mortgage approval slump hit housing market happened
403,403,Wirecard asset freeze leaves vulnerable people without cash,NEG,wirecard asset freeze leaf vulnerable people without cash
404,404,Byron to go into administration in attempt to sell parts of burger chain,NEG,byron go administration attempt sell part burger chain
405,405,Musical instrument firms Roland and Korg fined £5.5m over UK price fixing,NEG,musical roland korg uk instrument firm fined price fixing
406,406,UK home loans fall 90% since start of Covid-19 crisis,NEG,uk home loan fall since start crisis
407,407,Inside the Guardian Orwell prize nominee Aditya Chakrabortty: 'Don't do what everyone else is doing',POS,guardian aditya chakrabortty inside orwell prize nominee everyone else
408,408,Boeing begins 737 Max test flights after green light from regulators,POS,boeing begin max test flight green light regulator
409,409,"After coronavirus, cinema may never be the same again",NEG,coronavirus cinema may never
410,410,"Match Covid-19 economic stimulus with climate fight ambition, urge MPs",POS,match mps economic stimulus climate fight ambition urge
411,411,"Abandon 'levelling up' agenda at your peril, PM warned",NEG,abandon pm agenda peril warned
412,412,"Make Covid-19 support for vulnerable energy customers permanent, Ofgem tells suppliers",POS,ofgem make support vulnerable energy customer permanent tell supplier
413,413,Red alert issued over Landsec executive's bumper pension package,NEG,landsec red alert issued executive bumper pension package
414,414,The Pacific project Quarter of businesses in Pacific fear they will not survive Covid-19 pandemic,NEG,pacific pacific project quarter business fear survive pandemic
415,415,"Chesapeake Energy, fracking pioneer, files for bankruptcy owing $9bn",NEG,chesapeake energy fracking pioneer file bankruptcy owing
416,416,UK needs 'biggest-ever peacetime job creation plan' to stop mass unemployment,NEG,uk need peacetime job creation plan stop mass unemployment
417,417,Foreign travel boost as UK gives green light to overseas trips,POS,uk foreign travel boost give green light overseas trip
418,418,Hydrogen fuel bubbles up the agenda as investments rocket,POS,hydrogen fuel bubble agenda investment rocket
419,419,Revealed: Developers PM backed when London mayor give almost £1m to Tories,NEG,london revealed developer pm backed mayor give almost tory
420,420,UK cinemas set for worst year since 1996 due to coronavirus,NEG,uk cinema set worst year since due coronavirus
421,421,Virgin Atlantic seeks urgent rescue package worth up to £900m,NEG,virgin atlantic seek urgent rescue package worth
422,422,"Back us or risk losing half UK's public leisure centres, industry warns",NEG,uk back u risk losing half public leisure centre industry warns
423,423,Is plaster the new toilet roll? Lockdown DIY binge stretches UK supplies,NEU,lockdown diy plaster new toilet roll binge stretch uk supply
424,424,"Economics viewpoint Lockdown or not, a second wave of Covid-19 will badly damage the UK economy",NEG,lockdown uk economics viewpoint second wave badly damage economy
425,425,Government and watchdog ‘are totally failing problem gamblers’,NEG,government watchdog totally failing problem gambler
426,426,‘A travesty’: North Carolina faces calls to continue reopening even as Covid-19 cases surge,NEG,north carolina travesty face call continue reopening even case surge
427,427,‘I’ve not been to the city centre for months’: UK suburbs thrive as office staff stay home,POS,city centre month uk suburb thrive office staff stay home
428,428,'We've had to rein in our spending': how coronavirus has hit household incomes,NEG,rein spending coronavirus hit household income
429,429,William Keegan's in my view Rishi Sunak is a reluctant Keynesian. But he has no choice,NEG,william keegan rishi sunak keynesian view reluctant choice
430,430,Hidden gems from the world of research Economic recovery hinges on when – and if – we find a vaccine,NEG,hidden gem world research economic recovery hinge find vaccine
431,431,Business leader The low-paid need Britain to reopen. But this outbreak isn’t over,NEG,business britain leader need reopen outbreak
432,432,"Observer business agenda Sales are soaring, but Sainsbury’s new boss is expecting a bumpy ride",NEG,observer sainsbury business agenda sale soaring new bos expecting bumpy ride
433,433,Robert Jenrick admits Israeli billionaire he had meeting with is family friend,NEU,robert jenrick israeli admits billionaire meeting family friend
434,434,Why the home-working boom could tumble London's skyscrapers,NEG,london boom could tumble skyscraper
435,435,What does England's lockdown easing mean for office workers?,NEU,england lockdown easing mean office worker
436,436,L'Oréal to remove words like 'whitening' from skincare products,POS,remove word like skincare product
437,437,Covid-19 survivors could lose health insurance if Trump wins bid to repeal Obamacare,NEG,trump obamacare survivor could lose health insurance win bid repeal
438,438,What next for the UK's deserted public transport network?,NEG,uk next deserted public transport network
439,439,Race and money Why corporate America makes an unconvincing ally against racism,NEG,race america money corporate make unconvincing ally racism
440,440,Back to work: English businesses gear up for life after lockdown,POS,back work english business gear life lockdown
441,441,Facebook policy changes fail to quell advertiser revolt as Coca-Cola pulls ads,NEG,facebook coca-cola policy change fail quell advertiser revolt pull ad
442,442,Post Office resumes selling travel currency as UK lockdown eases,POS,post uk office resume selling travel currency lockdown eas
443,443,Can Kanye West save the Gap?,NEU,kanye west gap save
444,444,Shopping centre owner Intu collapses into administration,NEG,intu shopping centre owner collapse administration
445,445,Three more Midlands meat factory workers test positive for coronavirus,NEG,three midland meat factory worker test positive coronavirus
446,446,M&S and Next compete for UK arm of Victoria's Secret,NEU,next uk victoria secret compete arm
447,447,No going back to normal after the pandemic? Don't bet on it,NEU,going back normal pandemic bet
448,448,Aston Martin raises £207m in equity and debt after sales slump,NEG,aston martin raise equity debt sale slump
449,449,"HSBC resumes plan to cut 35,000 jobs worldwide",NEG,hsbc resume plan cut job worldwide
450,450,Tesco hit by shareholder revolt over executive pay,NEG,tesco hit shareholder revolt executive pay
451,451,Business live US stocks fall as investors fret over rising Covid-19 cases - as it happened,NEG,business live stock fall investor fret rising case happened
452,452,From wrecked cars to catwalk: the fashion hothouse born in a row of lock-ups,POS,wrecked car catwalk fashion hothouse born row
453,453,Verizon pulls ads from Facebook over inaction on hate speech,NEG,verizon facebook pull ad inaction hate speech
454,454,Wirecard UK ordered to freeze customer funds by finance regulator,NEG,wirecard uk ordered freeze customer fund finance regulator
455,455,Bike boom: UK sales up 60% in April as Covid-19 changes lifestyles,POS,bike boom uk sale april change lifestyle
456,456,Yorkshire building society relaunches 90% mortgages for first-time buyers,POS,yorkshire building society relaunches mortgage buyer
457,457,"Staycation holiday scams soar, banking trade body warns",NEG,staycation holiday scam soar banking trade body warns
458,458,Boohoo bosses in line for £150m bonus as part of incentive plan,POS,boohoo boss line bonus part incentive plan
459,459,Texas oil industry faces prospect of collapse amid Covid-19 losses,NEG,texas oil industry face prospect collapse amid loss
460,460,Australia must reject austerity and embrace targeted spending to beat this recession,POS,australia must reject austerity embrace targeted spending beat recession
461,461,UK retailers pay only 14% of £2.5bn rent due this week,NEG,uk retailer pay rent due week
462,462,Nils Pratley on finance Ministers should check their post – Royal Mail's problems are stacking up,NEG,nils pratley royal mail finance minister check post problem stacking
463,463,Robert Jenrick faces questions over meeting with Israeli mining heir,NEG,robert jenrick israeli face question meeting mining heir
464,464,BA tells longest-serving cabin crew to take 20% pay cut or lose jobs,NEG,ba tell cabin crew take pay cut lose job
465,465,UK Virgin Media users suffer broadband and TV outages,NEG,virgin media uk user suffer broadband tv outage
466,466,Exclusive: Viber severs ties with Facebook in growing boycott,NEG,facebook exclusive viber severs tie growing boycott
467,467,Call to block key Bolsonaro ally from World Bank job,NEG,world bank call block key bolsonaro ally job
468,468,Pub group owned by billionaires 'demanding rent' amid Covid-19 crisis,NEG,pub group owned billionaire rent amid crisis
469,469,'Worst deal in history': Viagogo and StubHub merger faces investigation,NEG,viagogo stubhub deal history merger face investigation
470,470,Richard Desmond: the former porn baron caught in a Tory scandal,NEG,richard desmond former porn baron caught tory scandal
471,471,Business live UK retailers pessimistic as economy reopens; Covid-19 worries markets - as it happened,NEG,business live uk retailer pessimistic economy reopens worry market happened
472,472,Covid-19 investigations Lorry drivers from outside EU 'exploited' in lockdown delivery surge,NEG,lorry eu investigation driver outside lockdown delivery surge
473,473,Unilever to rename Fair & Lovely skin-lightening cream in India,POS,unilever fair lovely india rename cream
474,474,The British government is about to sleepwalk into an unemployment crisis,NEG,british government sleepwalk unemployment crisis
475,475,Renewable energy breaks UK record in first quarter of 2020,POS,renewable energy break uk record first quarter
476,476,Center Parcs to reopen on 13 July in UK and Ireland but pools stay closed,POS,center parcs ireland reopen july uk pool stay closed
477,477,1.48m more Americans file for unemployment as pandemic takes toll,NEG,american file unemployment pandemic take toll
478,478,"Global stock market rally is a gamble, IMF warns investors",NEG,global imf stock market rally gamble warns investor
479,479,UK retailers remain gloomy about quick post-lockdown bounce back,NEG,uk retailer remain gloomy quick bounce back
480,480,English cinemas to reopen without self-serve pick ’n' mix or singalongs,NEU,english cinema reopen without pick mix singalong
481,481,The Booksellers review – warm study of a fast-shifting subculture,POS,booksellers review warm study subculture
482,482,Wirecard files for insolvency amid German accounting scandal,NEG,wirecard german file insolvency amid accounting scandal
483,483,Good vibrations: how Bandcamp became the heroes of streaming,POS,good bandcamp vibration became hero streaming
484,484,"Royal Mail to cut 2,000 management roles",NEG,royal mail cut management role
485,485,"Qantas to cut 6,000 jobs and keep 15,000 stood down in bid to survive coronavirus downturn",NEG,qantas cut job keep stood bid survive coronavirus downturn
486,486,Waitrose boss joins calls for post-Brexit food standards protection,NEU,waitrose bos join call food standard protection
487,487,"Planning rules lifted for fairs, markets and car boot sales in England",POS,england planning rule lifted fair market car boot sale
488,488,Politics live with Andrew Sparrow Papers indicate Robert Jenrick rushed through planning decision so Tory donor could reduce costs by £50m – as it happened,NEG,andrew sparrow papers robert jenrick tory politics live indicate rushed planning decision donor could reduce cost happened
489,489,The Robert Jenrick planning row explained,NEG,robert jenrick planning row explained
490,490,EasyJet launches £450m rights issue to shore up Covid defence,POS,easyjet covid launch right issue shore defence
491,491,Nils Pratley on finance The government cannot allow Tata to buckle under Covid pressure,NEG,nils pratley tata covid finance government allow buckle pressure
492,492,John Lewis appoints Pippa Wicks as executive director,NEU,john lewis pippa wicks appoints executive director
493,493,"Company behind Bisto, Mr Kipling and McDougall's expects UK sales surge",POS,company bisto mcdougall uk behind kipling expects sale surge
494,494,Business live European and US stock markets fall amid Covid-19 and trade fears - as it happened,NEG,business european us live stock market fall amid trade fear happened
495,495,Has coronavirus sent the out-of-town shopping centre packing?,NEG,has coronavirus sent shopping centre packing
496,496,Flipping hell: book designers lament Waterstones' back-to-front displays,NEG,waterstones flipping hell book designer lament display
497,497,Cineworld staff launch petition to make customer face coverings compulsory,NEU,cineworld staff launch petition make customer face covering compulsory
498,498,Coronavirus lockdown eased: what you can and can't do from 4 July,NEU,coronavirus lockdown eased ca july
499,499,Liverpool zipwire plan sparks fears of 'Disneyisation' of city,NEG,liverpool zipwire plan spark fear city
500,500,How will the world's poorest people get a coronavirus vaccine?,NEU,world poorest people get coronavirus vaccine
501,501,Covid crisis watch The window to prevent mass unemployment is rapidly closing,NEG,covid crisis watch window prevent mass unemployment rapidly closing
502,502,Covid crisis watch English shoppers return – but economy faces long road to recovery,NEG,covid english crisis watch shopper return economy face long road recovery
503,503,Covid crisis watch Labour hits out at Rishi Sunak's approach to ending wage subsidies,NEG,covid labour rishi sunak crisis watch hit approach ending wage subsidy
504,504,Covid crisis watch UK jobless figures climbing but most dangerous moment may have passed,NEG,covid crisis watch uk jobless figure climbing dangerous moment may passed
505,505,Norton Motorcycles' ex-owner must pay back £14m missing from pension fund,NEG,norton motorcycles must pay back missing pension fund
506,506,Did Covid-19 panic really send Britain to the brink of bankruptcy?,NEG,did britain panic really send brink bankruptcy
507,507,"Global economy will take $12tn hit from coronavirus, says IMF",NEG,global imf economy take hit coronavirus say
508,508,Boris Johnson issues reopening rules for businesses in England,NEU,boris johnson england issue reopening rule business
509,509,Facebook to be hit by its largest ever advertiser boycott over racism,NEG,facebook hit largest ever advertiser boycott racism
510,510,"Tata Steel awaiting UK government decision on rescue deal to save 8,000 jobs",POS,tata steel awaiting uk government decision rescue deal save job
511,511,Run a business that can't reopen? Tell us how you feel,NEG,run business ca reopen tell u feel
512,512,Living in the UK: have you been made unemployed during lockdown?,NEG,living uk made unemployed lockdown
513,513,The US Postal Service lifted my family out of poverty. We can't let it die,NEG,us postal service lifted family poverty ca let die
514,514,"Aviation services firm Swissport to cut more than 4,500 UK jobs",NEG,aviation swissport service firm cut uk job
515,515,America's water crisis High levels of arsenic found in US Whole Foods’ bottled water brand,NEG,america us foods water crisis high level arsenic found whole bottled water brand
516,516,Commercial landlords expect shortfall on rent day for UK retailers,NEG,uk commercial landlord expect shortfall rent day retailer
517,517,"Your problems, with Anna Tims Get this message over to airlines … stop passing the buck over refunds",NEG,anna tims get problem message airline stop passing buck refund
518,518,Zara and Primark factory workers say they were fired after forming union,NEG,zara primark factory worker say fired forming union
519,519,UK betting firms' move to redirect problem gambling funds raises concerns,NEG,uk betting firm move redirect problem gambling fund raise concern
520,520,Lockdown wardrobe clear-outs threaten to flood charity shops,NEG,lockdown wardrobe threaten flood charity shop
521,521,‘You can’t pay cash here’: how our newly cashless society harms the most vulnerable,NEG,pay cash newly cashless society harm vulnerable
522,522,Project Syndicate economists The post-coronavirus economic recovery must be led by the US,POS,syndicate us project economist economic recovery must led
523,523,"Segway, personal vehicle known for high-profile crashes, ending production",NEG,segway personal vehicle known crash ending production
524,524,Ex-Wirecard CEO arrested on suspicion of falsifying accounts,NEG,ceo arrested suspicion falsifying account
525,525,"Reopening of pubs, restaurants and hairdressers not risk-free, say top advisers",NEG,reopening pub restaurant hairdresser say top adviser
526,526,Operators of gyms and pools query England's new lockdown rules,NEU,england operator gym pool query new lockdown rule
527,527,Timber from unsustainable logging allegedly being sold in EU as ethical,NEG,eu timber unsustainable logging allegedly sold ethical
528,528,Politics live with Andrew Sparrow UK coronavirus: Chris Whitty warns of second spike if people ignore new rules in final daily briefing – as it happened,NEG,andrew sparrow uk chris whitty politics live coronavirus warns second spike people ignore new rule final daily briefing happened
529,529,"London high-rise offices to suffer 'dramatic' dent in demand, say experts",NEG,london office suffer dent demand say expert
530,530,Nils Pratley on finance Shopping centre owner Intu could have saved itself years ago,NEG,nils pratley intu finance shopping centre owner could saved year ago
531,531,Trafford Centre owner prepares contingency plan for administration,NEG,trafford centre owner prepares contingency plan administration
532,532,UK ministers in talks to create air bridges with 'core' European nations,NEU,european uk minister talk create air bridge nation
533,533,"White household income in UK 63% higher than black households, ONS finds",NEG,white ons household income uk higher black household find
534,534,Shell faces UK supreme court case over Niger delta pollution,NEG,shell uk niger face supreme court case delta pollution
535,535,Business live UK factories return to growth as PMIs show global slump easing - as it happened,POS,business pmis live uk factory return growth show global slump easing happened
536,536,I run a restaurant in Cambridge. Here's why we won't be reopening on 4 July,NEG,cambridge run restaurant wo reopening july
537,537,UK electric buses boosted by innovative £20m battery deal,POS,uk electric bus boosted innovative battery deal
538,538,UK car industry 'could lose one in six jobs due to Covid-19 crisis',NEG,uk car industry lose one six job due crisis
539,539,'Big tobacco wants our youth's lungs': rise of smoking in Jordan,NEG,jordan tobacco want youth lung rise smoking
540,540,Jordan smoking rates highest in world amid claims of big tobacco interference,NEG,jordan smoking rate highest world amid claim big tobacco interference
541,541,Apple update to allow iPhone users to choose default apps,POS,apple iphone update allow user choose default apps
542,542,UK shoppers choose local grocers and online stores in Covid-19 crisis,POS,uk shopper choose local grocer online store crisis
543,543,Jurassic Park and Jaws fight to top US box offices decades after their first releases,POS,jurassic park jaws us fight top box office decade first release
544,544,Race and money The venture capitalist with a Silicon Valley solution for minority-owned businesses,POS,race silicon valley money venture capitalist solution business
545,545,Lost on the frontline US nurses at for-profit hospital chain to strike over cuts and PPE shortages,NEG,us ppe lost frontline nurse hospital chain strike cut shortage
546,546,"Red Skins and Chicos sweets to be renamed, with Nestlé calling brands 'out of step'",NEU,chicos nestlé red skin sweet renamed calling brand step
547,547,Queen – not that one – to appear on postage stamps,POS,queen one appear postage stamp
548,548,Britain beyond lockdown: all change? Britain beyond lockdown: can we level up?,NEU,britain britain beyond lockdown change beyond lockdown level
549,549,Consumer champions John Lewis customer service has let me down,NEG,consumer john lewis champion customer service let
550,550,What can Rishi Sunak do to boost the economy?,POS,rishi sunak boost economy
551,551,White House scrambles to deny Trump trade adviser's claim that China deal is 'over',NEG,white house trump china scramble deny trade adviser claim deal
552,552,'Profoundly disappointing': KitKat cuts ties with Fairtrade,NEG,fairtrade disappointing kitkat cut tie
553,553,"Europe could face oil shortage in a decade, study warns",NEG,europe could face oil shortage decade study warns
554,554,"Museums, galleries and cinemas to reopen in England from 4 July",POS,museums england gallery cinema reopen july
555,555,Nils Pratley on finance The new face at the FCA needs to keep politicians at arms length,NEU,nils pratley fca finance new face need keep politician arm length
556,556,Minibars and buffets bite the dust as England's hotels prepare to reopen,NEU,england minibar buffet bite dust hotel prepare reopen
557,557,Planning permission deadlines to be extended by UK government,POS,uk planning permission deadline extended government
558,558,Energy customers face bailiffs as Ofgem allows debt collecting again,NEG,energy ofgem customer face bailiff allows debt collecting
559,559,Concerns raised over proposed registration for England's drinkers and diners,NEG,england concern raised proposed registration drinker diner
560,560,"Britain nearly went bust in March, says Bank of England",NEG,britain march bank england nearly went bust say
561,561,Contact tracing and the problems with untested technology,NEG,contact tracing problem untested technology
562,562,Buying your first home just got (even) harder,NEG,buying first home got even harder
563,563,‘New York always comes back’: workers return as city enters phase two of reopening,POS,new york always come back worker return city enters phase two reopening
564,564,German payments firm Wirecard says missing €1.9bn may not exist,NEG,german wirecard payment firm say missing may exist
565,565,Business live UK factories suffer worst quarter on record amid coronavirus lockdown - as it happened,NEG,business live uk factory suffer worst quarter record amid coronavirus lockdown happened
566,566,Shopper numbers surged 45% in week English shops reopened,POS,shopper english number surged week shop reopened
567,567,"Meat plant must be held to account for Covid-19 outbreak, says German minister",NEG,meat german plant must held account outbreak say minister
568,568,No 10 distances itself from Robert Jenrick over planning row,NEG,robert jenrick distance planning row
569,569,Centrica plans cut-price 'British Gas X' to take on digital rivals,POS,centrica gas x plan take digital rival
570,570,Netflix to resume filming of The Witcher after Covid-19 hiatus,POS,netflix resume filming witcher hiatus
571,571,FCA appoints London Stock Exchange executive Nikhil Rathi as CEO,NEU,london stock exchange nikhil rathi ceo fca appoints executive
572,572,"UK factory output plunges at fastest pace on record, says CBI",NEG,cbi uk factory output plunge fastest pace record say
573,573,UK firms critical to public health protected from foreign takeovers,POS,uk firm critical public health protected foreign takeover
574,574,Coronavirus Victoria: what we know about Melbourne's Covid-19 hotspots,NEG,coronavirus victoria melbourne know hotspot
575,575,"‘National nature service’ needed for green recovery in England, groups say",POS,england national nature service needed green recovery group say
576,576,UK black professional representation 'has barely budged since 2014',NEG,uk black professional representation barely budged since
577,577,Former chancellor Alistair Darling calls for emergency VAT cut,POS,alistair darling vat former chancellor call emergency cut
578,578,JD Sports' Go Outdoors brand likely to enter administration in days,NEG,jd sport go outdoors brand likely enter administration day
579,579,'Make or break': pub and restaurant owners hope for reduction of 2-metre rule,POS,break pub restaurant owner hope reduction rule
580,580,'Millions still need cash': UK project aims to preserve use of physical currency,POS,still need cash uk project aim preserve use physical currency
581,581,Rashford's voucher victory only a 'sticking plaster' for the poor,POS,rashford voucher victory plaster poor
582,582,'Things vanish off the edge': Barnsley counts the cost of a decade of austerity,NEG,barnsley vanish edge count cost decade austerity
583,583,Aerospace firms lobby Treasury to accelerate military spending plan,NEU,aerospace treasury firm lobby accelerate military spending plan
584,584,Bank of England slavery apology not enough,NEG,bank england slavery apology enough
585,585,Aviva says executive pay should be first casualty of Covid cuts,NEU,aviva covid say executive pay first casualty cut
586,586,Viewpoint column Low interest rates offer a rare solution that left and right can agree on,POS,viewpoint low column interest rate offer rare solution left right agree
587,587,The future of music: ‘No one has anything positive to say about physically distanced gigs. At all’,NEG,future music one anything positive say physically distanced gig
588,588,Human rights in focus 'My life became a disaster movie': the Bangladesh garment factory on the brink,NEG,bangladesh human right focus life became disaster movie garment factory brink
589,589,From extra to surplus: TV and film ‘supporting artists’ face long wait for work,NEG,extra surplus tv film supporting artist face long wait work
590,590,Business leader Even the oil giants can now foresee the end of the gasoline age,NEU,business leader even oil giant foresee end gasoline age
591,591,Observer business agenda What do retailers fear even more than the R number? The rent,NEG,observer business agenda retailer fear even number rent
592,592,Fate of $1bn in Venezuelan gold hangs in balance at high court,NEU,fate venezuelan gold hang balance high court
593,593,"Firms are waking up to race issues, but critics say hashtags aren’t enough",NEG,firm waking race issue critic say hashtags enough
594,594,Review into England's 2-metre distance rule due within days,NEU,review england distance rule due within day
595,595,Observer Design Meet the makers: Benchmark – in pictures,POS,benchmark observer design meet maker picture
596,596,Observer Design Meet the makers: Denby pottery – in pictures,POS,denby observer design meet maker pottery picture
597,597,Travel clinic: what you need to know about your summer holidays,NEU,travel clinic need know summer holiday
598,598,Observer Design Meet the makers: the woodwork of Takahashi McGil – in pictures,POS,takahashi mcgil observer design meet maker woodwork picture
599,599,UK public wary of live music as industry calls for £50m rescue package,NEG,uk public wary live music industry call rescue package
600,600,Britain beyond lockdown: all change? Britain beyond lockdown: could the country be healthier?,NEU,britain britain beyond lockdown change beyond lockdown could country healthier
601,601,How England's shop staff feel about reopening for trade after Covid-19,NEU,england shop staff feel reopening trade
602,602,"Financial inequality: the ethnicity gap in pay, wealth and property",NEG,financial inequality ethnicity gap pay wealth property
603,603,BT and Vodafone told to stock up on Huawei kit over US sanctions,NEG,vodafone huawei us bt told stock kit sanction
604,604,Morrison government flags incentives for Australians to take domestic holidays to save tourism industry,POS,morrison australians government flag incentive take domestic holiday save tourism industry
605,605,Amanda Staveley in tears as Barclays lawyer accuses her of 'hustle',NEG,amanda staveley barclays tear lawyer accuses
606,606,Three food factories in England and Wales close over coronavirus,NEG,england wales three food factory close coronavirus
607,607,UK debt is bigger than economy for first time since 1963,NEG,uk debt bigger economy first time since
608,608,Angela Merkel fears economic crisis is being underestimated in EU,NEG,angela merkel eu fear economic crisis underestimated
609,609,Ministers extend ban on evicting high street firms until autumn,POS,minister extend ban evicting high street firm autumn
610,610,Business live UK borrowing hits record £55bn in May; retail sales rebound - as it happened,POS,business may live uk borrowing hit record retail sale rebound happened
611,611,UK rail bosses rejected call to dress staff like face-mask volunteers,NEG,uk rail boss rejected call dress staff like volunteer
612,612,Watchdog investigates possible overcharging for hand sanitiser in UK,NEG,watchdog investigates possible overcharging hand sanitiser uk
613,613,"Coronavirus has widened America's vast racial wealth gap, study finds",NEG,coronavirus america widened vast racial wealth gap study find
614,614,DIY and garden centres help UK retail sales rebound in May,POS,diy uk garden centre help retail sale rebound may
615,615,MPs call for 'triple lock' on pensions to be temporarily suspended,NEG,mps call lock pension temporarily suspended
616,616,John Lewis to reopen a further nine stores on 25 June,POS,john lewis reopen nine store june
617,617,Life in the time of corona Air travel during the pandemic: what should I know – and how safe is it?,NEU,life air time corona travel pandemic know safe
618,618,Money talks Inflation is not dead. It's still a big risk for your money,NEG,money talk inflation dead still big risk
619,619,The 12% rise in UK retail spending should come with note of caution,POS,rise uk retail spending come note caution
620,620,"Grace Dent on restaurants Attawa, London E8: 'I’ve eaten my own dal for months: it tastes like a wet weekend in Bognor' – restaurant review",NEG,grace dent attawa london e8 bognor restaurant eaten dal month taste like wet weekend restaurant review
621,621,UK extends payments freeze for consumers struggling with debt,POS,uk extends payment freeze consumer struggling debt
622,622,Non-essential shops in Wales can reopen from Monday,POS,wales shop reopen monday
623,623,Nils Pratley on finance An overhaul of Britain's railways was long overdue even before Covid-19,POS,nils pratley britain finance overhaul railway long overdue even
624,624,Bank of England apologises for role of former directors in slave trade,NEG,bank england apologises role former director slave trade
625,625,Plans to turn House of Fraser in Westfield into co-working space,NEU,house fraser westfield plan turn space
626,626,UK firms urged to examine slavery links and 'eradicate racism',POS,uk firm urged examine slavery link racism
627,627,"Northern Irish firms to be reimbursed for tariffs if Brexit talks fail, Gove says",POS,northern irish brexit gove firm reimbursed tariff talk fail say
628,628,KPMG to review TfL's finances after £1.6bn government bailout,NEU,tfl kpmg review finance government bailout
629,629,Welsh chicken factory closes for two weeks over Covid-19 in staff,NEG,welsh chicken factory close two week staff
630,630,Andrew Tyrie quits UK competition watchdog over 'limits' of role,NEU,andrew tyrie uk quits competition watchdog role
631,631,"Barclays, HSBC and Lloyds among UK banks that had links to slavery",NEG,barclays hsbc lloyds uk among bank link slavery
632,632,"Growing number of Britons working from home, says ONS",POS,britons ons growing number working home say
633,633,Carnival to sell six cruise ships as bookings dry up,NEG,carnival sell six cruise ship booking dry
634,634,Rail subsidies costing UK taxpayer £100 per journey in lockdown,NEG,rail uk subsidy costing taxpayer per journey lockdown
635,635,Business live Bank of England boosts bond-buying programme by £100bn - as it happened,POS,business bank england £100bn live boost programme happened
636,636,Bank of England continues on money-printing path it set out on in 2009,NEU,bank england continues path set
637,637,"Bank praised by Boris Johnson had slavery links, data shows",NEG,bank boris johnson praised slavery link data show
638,638,AllSaints asks landlords for rent reductions to survive Covid-19,NEG,allsaints asks landlord rent reduction survive
639,639,UK manufacturing output falls to lowest level in 11 years,NEG,uk manufacturing output fall lowest level year
640,640,Business live UK manufacturing output slumps; global markets steady - as it happened,NEG,business live uk manufacturing output slump global market steady happened
641,641,UK retail sales recover slightly but remain well below pre-Covid levels,NEG,uk retail sale recover slightly remain well level
642,642,"Boris Johnson’s ‘new deal’ lacks ambition, says Labour",NEG,boris johnson labour new deal lack ambition say
643,643,UK government borrowing hits record high in May,NEG,uk government borrowing hit record high may
644,644,UK economy shrinks by record 20.4% in April due to lockdown,NEG,uk economy shrink record april due lockdown
645,645,UK retail sales slump to lowest level since records began,NEG,uk retail sale slump lowest level since record began
646,646,UK unemployment rate holds steady despite lockdown,NEU,uk unemployment rate hold steady despite lockdown
647,647,UK government to review 2-metre social distancing rule,NEU,uk government review social distancing rule
648,648,UK retail sales plummet by record amount in April,NEG,uk retail sale plummet record amount april
